,Biodiversity and Land Use,Carbon Emissions,Climate Change Vulnerability,Electronic Waste,Financing Environmental Impact,Opportunities in Clean Tech,Opportunities in Green Building,Opportunities in Renewable Energy,Packaging Material and Waste,Product Carbon Footprint,Raw Material Sourcing,Toxic Emissions and Waste,Water Stress,Accounting,Board,Business Ethics,Ownership and Control,Pay,Tax Transparency,Access to Communications,Access to Finance,Access to Health Care,Chemical Safety,Community Relations,Controversial Sourcing,Financial Product Safety,Health and Demographic Risk,Health and Safety,Human Capital Development,Labor Management,Opportunities in Nutrition and Health,Privacy and Data Security,Product Safety and Quality,Responsible Investment,Supply Chain Labor Standards
0,0.94539714,0.983124,0.53536046,0.17405245,0.3985505,0.16281419,0.06335166,0.06971324,0.051439937,0.7481404,0.42038044,0.35976154,0.99578995,0.11278059,0.005394485,0.003470814,0.06415203,0.07451079,0.036551468,0.30684876,0.2909883,0.017121533,0.48302376,0.005115321,0.4808863,0.3013613,0.097257756,0.0026120946,0.0011626204,0.004021844,0.09954945,0.0014928259,0.033520155,0.1622062,0.018511426
1,0.9092838,0.9890547,0.81437564,0.14510155,0.4666581,0.30279398,0.04438884,0.28319675,0.07469675,0.86669946,0.19013204,0.7541592,0.99322754,0.10272834,0.0035743196,0.0029513582,0.08928001,0.06383635,0.034073014,0.24357189,0.31107813,0.01134975,0.29051667,0.0057877842,0.27499217,0.32508287,0.10551683,0.0020784521,0.0009928311,0.0031639165,0.026517399,0.0012868476,0.039148327,0.1132752,0.0057976344
2,0.9930577,0.5136116,0.49660438,0.16429944,0.4471786,0.105386525,0.3627708,0.0698876,0.09090628,0.5402276,0.2091365,0.14727531,0.95924234,0.102754876,0.010015357,0.0069479686,0.0624981,0.058565848,0.028489612,0.37563458,0.52671164,0.021009257,0.13837826,0.0796838,0.21602933,0.23441537,0.10971638,0.0049256203,0.0013245296,0.006038048,0.5454549,0.0015361067,0.02300834,0.17625001,0.008942192
3,0.9882449,0.94590145,0.7157846,0.12719715,0.3534355,0.10159578,0.081218824,0.4260609,0.07822119,0.17305346,0.17519563,0.15637955,0.996293,0.10566551,0.008984551,0.005232447,0.099174365,0.055120423,0.02375319,0.29490355,0.3051297,0.52032435,0.11206283,0.14980805,0.15400419,0.29310805,0.09071114,0.0040351595,0.0012130198,0.0046881037,0.11818628,0.0013270266,0.03300364,0.11593581,0.015184148
4,0.97612643,0.98343104,0.49493134,0.3509855,0.3777924,0.16186254,0.44006774,0.22994323,0.038799353,0.8806165,0.8329186,0.4021527,0.99582857,0.25954938,0.004392727,0.0046889693,0.47680178,0.07748232,0.06283544,0.34236795,0.31162784,0.06642743,0.32368377,0.0049164486,0.4495864,0.29511803,0.5190978,0.0050865677,0.0011163278,0.0032235016,0.057525504,0.0010457464,0.02250363,0.16385122,0.08945627
5,0.9133201,0.98911744,0.5506843,0.13790713,0.36467293,0.33729085,0.026817435,0.57122,0.025944509,0.7968316,0.13408984,0.1356328,0.9981828,0.22867416,0.0026146774,0.0028244357,0.11067779,0.0742941,0.029794767,0.23696674,0.31310442,0.0073593264,0.15111054,0.004374359,0.6802526,0.40627298,0.11585309,0.0020023875,0.0007845045,0.0027847888,0.022625182,0.0010654874,0.035809405,0.26891518,0.012121579
6,0.95547783,0.9925039,0.76712006,0.105064645,0.42603365,0.11170309,0.67116743,0.81631386,0.025800405,0.8976518,0.10394906,0.14454144,0.99528885,0.10331189,0.0044888575,0.0036607108,0.12767476,0.044506077,0.022628257,0.22149707,0.32228988,0.01655261,0.11885396,0.00997624,0.13500614,0.31131932,0.08155275,0.0020934988,0.00093243434,0.0033636522,0.01943988,0.0011413064,0.045012314,0.13626519,0.008205346
7,0.57329524,0.9918242,0.7443275,0.18042089,0.51166,0.60239995,0.03119895,0.14820457,0.026215386,0.78744024,0.17697373,0.15058678,0.37352943,0.11569795,0.0039016453,0.0028488971,0.06427712,0.066533044,0.03735469,0.26759192,0.37425688,0.007813723,0.27546486,0.0072471066,0.37935868,0.30578968,0.06635412,0.0020365326,0.0009517188,0.0036884309,0.02936251,0.0011258111,0.02574979,0.2560114,0.020823926
8,0.9937616,0.98283976,0.48494396,0.21303874,0.38783222,0.6973403,0.090298876,0.10648204,0.018628653,0.89986247,0.32918125,0.101871505,0.9955564,0.13091734,0.002874486,0.0044132713,0.48079577,0.07837975,0.023743799,0.29489976,0.32598296,0.1340306,0.16592546,0.009653654,0.519849,0.44003925,0.13593614,0.0028561808,0.00091693987,0.0039490196,0.024374334,0.0012637122,0.03639261,0.44682547,0.048972286
9,0.9918665,0.94138485,0.5581241,0.21907394,0.39450577,0.10340862,0.050416905,0.2517929,0.08666656,0.66067487,0.39122936,0.2186289,0.99281067,0.1406713,0.007804198,0.0035594953,0.78041834,0.068533994,0.023003954,0.29750678,0.31824708,0.014264894,0.13056593,0.0058818767,0.34309435,0.29821172,0.3847198,0.0044115265,0.0009800438,0.0036846723,0.042314507,0.0013211526,0.030107766,0.21129572,0.018193178
